label,sublabel,description,styles,bgcolor
燃せないごみ,,,img/moyasanai02.svg,#733b96
資源,,,img/shigen02.svg,#77ae1f
燃やすごみ,,,img/moyasu02.svg,#ea3b13
びん・缶,,,img/bin02.svg,#2dc7aa
有害ごみ,,,,#685ecf
